instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;354135;9;3094;3125.3425;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;839113;7;3090;3118.74;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;839113;8;3090;3118.74;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;839113;9;3081;3109.74;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;123452;7;3091;3134.065;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;123452;8;3091;3134.065;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;123452;9;3091;3131.7025;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;4354512;7;3089;3125.7875;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;4354512;8;3089;3125.7875;;;;;;;;;;
t_j50_m10.txt;0.4;0.75;60;4354512;9;3101;3127.82;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;12345;7;4033;4053.445;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;12345;8;4017;4038.515;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;12345;9;4015;4031.75;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;435451;7;4015;4044.715;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;435451;8;4015;4044.715;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;435451;9;4006;4033.9825;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;56162;7;4013;4057.9225;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;56162;8;4013;4057.9225;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;56162;9;4010;4035.61;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;68813;7;4011;4041.555;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;68813;8;4011;4041.555;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;68813;9;4005;4039.33;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;368387;7;4023;4061.985;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;368387;8;4023;4061.985;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;368387;9;4022;4050.3725;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;687619;7;4014;4054.705;;;;;;;;;;
t_j50_m20.txt;0.4;0.75;60;687619;8;4014;4054.705;;;;;;;;;;
