instance_name;beta;h;max_time;seed;ML_used;makespan;makespan_bb;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;368387;6;1615;1633.7;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;687619;6;1600;1636.735;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;354135;6;1611;1634.875;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;839113;6;1614;1640.745;;;;;;;;;;;;;;;;;;;;;;
t_j20_m10.txt;0.9;1.5;60;123452;6;1628;1640.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;12345;6;2361;2378.01;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;435451;6;2336;2350.91;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;56162;6;2317;2342.33;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;68813;6;2344;2360.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;368387;6;2354;2374.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;687619;6;2356;2364.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;354135;6;2354;2368.16;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;839113;6;2346;2365.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.1;1.5;60;123452;6;2333;2360.98;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;12345;6;2361;2378.01;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;435451;6;2336;2350.91;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;56162;6;2317;2342.33;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;68813;6;2344;2360.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;368387;6;2354;2374.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;687619;6;2356;2364.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;354135;6;2354;2368.16;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;839113;6;2346;2365.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.2;1.5;60;123452;6;2333;2360.98;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;12345;6;2361;2378.01;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;435451;6;2336;2350.91;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;56162;6;2317;2342.33;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;68813;6;2344;2360.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;368387;6;2354;2374.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;687619;6;2356;2364.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;354135;6;2354;2368.16;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;839113;6;2346;2365.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.3;1.5;60;123452;6;2333;2360.98;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;12345;6;2361;2378.01;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;435451;6;2336;2350.91;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;56162;6;2317;2342.33;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;68813;6;2344;2360.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;368387;6;2354;2374.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;687619;6;2356;2364.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;354135;6;2354;2368.16;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;839113;6;2346;2365.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.4;1.5;60;123452;6;2333;2360.98;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;12345;6;2361;2378.01;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;435451;6;2336;2350.91;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;56162;6;2317;2342.33;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;68813;6;2344;2360.45;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;368387;6;2354;2374.25;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;687619;6;2356;2364.47;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;354135;6;2354;2368.16;;;;;;;;;;;;;;;;;;;;;;
t_j20_m20.txt;0.5;1.5;60;839113;6;2346;2365.47;;;;;;;;;;;;;;;;;;;;;;
